artist,song,song_id,playlist_id,rating
Drake,Forever,6HSqyfGnsHYw9MmIpa9zlZ,1RGcVb0M6nwlDmOJwEYGl9,1
Nate Ruess,Nothing Without Love,1lAnSi0iSTbto9WnRcnyC1,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Know Yourself,5InOp6q2vvx0fShv3bzFLZ,1RGcVb0M6nwlDmOJwEYGl9,1
Calvin Harris,Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb,1RGcVb0M6nwlDmOJwEYGl9,1
David Choi,Won't Even Start,1IC0I4K0RCX5dEsJYO8J0m,1RGcVb0M6nwlDmOJwEYGl9,1
David Choi,You and Me,1jqc4GdKqj7gYVtNQEumz1,1RGcVb0M6nwlDmOJwEYGl9,1
Bruno Mars,Gorilla,2ih2U8ttFzCjnQ5njF3SrR,1RGcVb0M6nwlDmOJwEYGl9,1
Wiz Khalifa,See You Again (feat. Charlie Puth),7wqSzGeodspE3V6RBD5W8L,1RGcVb0M6nwlDmOJwEYGl9,1
Carly Rae Jepsen,I Really Like You,3O09PoBmmhotSUxLZfcRP0,1RGcVb0M6nwlDmOJwEYGl9,1
Maroon 5,Sugar,5eWgDlp3k6Tb5RD8690s6I,1RGcVb0M6nwlDmOJwEYGl9,1
Sam Smith,Latch - Acoustic,3XyU03WycJQ02kExHb9dqW,1RGcVb0M6nwlDmOJwEYGl9,1
Jason Derulo,Whatcha Say,2zJZwWF7BTGIIvrAlgzJEx,1RGcVb0M6nwlDmOJwEYGl9,1
Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,7LcfRTgAVTs5pQGEQgUEzN,1RGcVb0M6nwlDmOJwEYGl9,1
The Goo Goo Dolls,Come to Me,1jvoeTYt8usIxGWQUSzEyz,1RGcVb0M6nwlDmOJwEYGl9,1
Jason Derulo,Want to Want Me,0HFx7PLqzGxSfN59j3UHmR,1RGcVb0M6nwlDmOJwEYGl9,1
OMI,Cheerleader - Felix Jaehn Remix Radio Edit,2XPc8gL9PwxGURQFcFaDJR,1RGcVb0M6nwlDmOJwEYGl9,1
Labrinth,Jealous,4L2K7JKseFCBoHMZEAszW0,1RGcVb0M6nwlDmOJwEYGl9,1
Fetty Wap,My Way (feat. Monty),7zpZQzTwWBN0eOsmb4WPH3,1RGcVb0M6nwlDmOJwEYGl9,1
Ed Sheeran,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Energy,79XrkTOfV1AqySNjVlygpW,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Back To Back,5lFDtgWsjRJu8fPOAyJIAK,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Charged Up,4pc01CAhGKx15PY23uPjHp,1RGcVb0M6nwlDmOJwEYGl9,1
Major Lazer,Lean On (feat. MØ & DJ Snake),4vS8VaBwJJV5Ry7UFIQuoo,1RGcVb0M6nwlDmOJwEYGl9,1
Diddy - Dirty Money,Coming Home,6Iocm6VMu6bVNYwiDoyQFW,1RGcVb0M6nwlDmOJwEYGl9,1
Ed Sheeran,Give Me Love,0SuG9kyzGRpDqrCWtgD6Lq,1RGcVb0M6nwlDmOJwEYGl9,1
Ed Sheeran,Tenerife Sea,1HbcclMpw0q2WDWpdGCKdS,1RGcVb0M6nwlDmOJwEYGl9,1
MAGIC!,No Way No,5xHooj89TQoQHj3dALvSh1,1RGcVb0M6nwlDmOJwEYGl9,1
R. City,Locked Away (feat. Adam Levine),0sQLhT32E9ZG2zn5iYR6nN,1RGcVb0M6nwlDmOJwEYGl9,1
B.o.B,Nothin' on You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Hotline Bling,6nmz4imkDcmtwMjocAzFSx,1RGcVb0M6nwlDmOJwEYGl9,1
Shawn Mendes,Stitches,3zkWCteF82vJwv0hRLba76,1RGcVb0M6nwlDmOJwEYGl9,1
Matt McAndrew,Wasted Love - The Voice Performance,0VUcwoRvX8qWyVULi6t0aV,1RGcVb0M6nwlDmOJwEYGl9,1
Adam Levine,Lost Stars,7rdGrVIoqwPWOULauvglio,1RGcVb0M6nwlDmOJwEYGl9,1
Alex & Sierra,Little Do You Know,1almCHdsfikRPfVB9VrEdT,1RGcVb0M6nwlDmOJwEYGl9,1
Black Eyed Peas,Where Is The Love?,0uqPG793dkDDN7sCUJJIVC,1RGcVb0M6nwlDmOJwEYGl9,1
The Fray,Love Don't Die,6IDDwI0YOCAUDhMZltQekS,1RGcVb0M6nwlDmOJwEYGl9,1
Train,Mermaid,23QvUEVePFN0v7MWsI59O4,1RGcVb0M6nwlDmOJwEYGl9,1
Fetty Wap,Trap Queen,3twQx3psUMJKj4wna5d1zU,1RGcVb0M6nwlDmOJwEYGl9,1
Bruno Mars,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,1RGcVb0M6nwlDmOJwEYGl9,1
Vance Joy,Riptide,7yq4Qj7cqayVTp3FF9CWbm,1RGcVb0M6nwlDmOJwEYGl9,1
Bruno Mars,Grenade,1WWR7F24UbFi06sfvcnvD8,1RGcVb0M6nwlDmOJwEYGl9,1
Renée Elise Goldsberry,Satisfied,3dP0pLbg9OfVwssDjp9aT0,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Jumpman,27GmP9AWRs744SzKcpJsTZ,1RGcVb0M6nwlDmOJwEYGl9,1
DNCE,Cake By The Ocean,0Kahm7qIT3oUsRSc4NWWmh,1RGcVb0M6nwlDmOJwEYGl9,1
Rae Sremmurd,This Could Be Us,4jTiyLlOJVJj3mCr7yfPQD,1RGcVb0M6nwlDmOJwEYGl9,1
Charlie Puth,Marvin Gaye (feat. Meghan Trainor),6ukMqDxnOPOgoHdak7Kyp3,1RGcVb0M6nwlDmOJwEYGl9,1
The Lonely Island,The Creep,38s7OIVgUwfbuZQRm0XacB,1RGcVb0M6nwlDmOJwEYGl9,1
Post Malone,White Iverson,2N0NifjyXAdMOB4KBGvBJ6,1RGcVb0M6nwlDmOJwEYGl9,1
Macklemore & Ryan Lewis,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",0lLDaAdXcjOQ7Mf2NXzXay,1RGcVb0M6nwlDmOJwEYGl9,1
Sia,"Elastic Heart - From ""The Hunger Games: Catching Fire""/Soundtrack",1dmN80e2eGVtz1cIrIaq2H,1RGcVb0M6nwlDmOJwEYGl9,1
Austin Mahone,All I Ever Need,50x8pt9ZLSXqd3dF3YJYqm,1RGcVb0M6nwlDmOJwEYGl9,1
Tyler Shaw,House of Cards,2bDtRrhdmaRM6jcJef9Lc2,1RGcVb0M6nwlDmOJwEYGl9,1
Shawn Mendes,Life Of The Party,0Ks8zrV1CH0ZCLuXNum3Wa,1RGcVb0M6nwlDmOJwEYGl9,1
Rudimental,Lay It All on Me (feat. Ed Sheeran),60hmtJmGbsAEXC0KCKMlN3,1RGcVb0M6nwlDmOJwEYGl9,1
